
Generic Name,Company Name, Contact Info, Presentation, Type of Update,Date of Update, Availability Information, Related Information, Resolved Note, Reason for Shortage, Therapeutic Category, Status, Change Date, Date Discontinued, Initial Posting Date, Generic Name Note, Generic Name Link , Company Info Link, Availability Link, Related Info Link,   Resolved Note Link, Discontinued Note Link
"Acetaminophen; Oxycodone Hydrochloride Tablet","Endo Pharmaceuticals, Inc.","800-828-9393","Acetaminophen; Oxycodone Hydrochloride, Tablet, 325 mg; 5 mg (NDC 60951-602-70)","New","11/03/2025","","Discontinuation of the manufacture of the drug","","","Analgesia/Addiction","To Be Discontinued","","11/03/2025","11/03/2025","","","","","","",""
"Acetaminophen; Oxycodone Hydrochloride Tablet","Endo Pharmaceuticals, Inc.","800-828-9393","Acetaminophen; Oxycodone Hydrochloride, Tablet, 325 mg; 5 mg (NDC 60951-602-85)","New","11/03/2025","","Discontinuation of the manufacture of the drug","","","Analgesia/Addiction","To Be Discontinued","","11/03/2025","11/03/2025","","","","","","",""
"Acetaminophen; Oxycodone Hydrochloride Tablet","Endo Pharmaceuticals, Inc.","800-828-9393","Acetaminophen; Oxycodone Hydrochloride, Tablet, 325 mg; 7.5 mg (NDC 60951-700-70)","New","11/03/2025","","Discontinuation of the manufacture of the drug","","","Analgesia/Addiction","To Be Discontinued","","11/03/2025","11/03/2025","","","","","","",""
"Acetaminophen; Oxycodone Hydrochloride Tablet","Endo Pharmaceuticals, Inc.","800-828-9393","Acetaminophen; Oxycodone Hydrochloride, Tablet, 325 mg; 2.5 mg (NDC 60951-701-70)","New","11/03/2025","","Discontinuation of the manufacture of the drug","","","Analgesia/Addiction","To Be Discontinued","","11/03/2025","11/03/2025","","","","","","",""
"Acetaminophen; Oxycodone Hydrochloride Tablet","Endo Pharmaceuticals, Inc.","800-828-9393","Acetaminophen; Oxycodone Hydrochloride, Tablet, 325 mg; 10 mg (NDC 60951-712-70)","New","11/03/2025","","Discontinuation of the manufacture of the drug","","","Analgesia/Addiction","To Be Discontinued","","11/03/2025","11/03/2025","","","","","","",""
"Acetaminophen; Oxycodone Hydrochloride Tablet","Endo Pharmaceuticals, Inc.","800-828-9393","Acetaminophen; Oxycodone Hydrochloride, Tablet, 325 mg; 2.5 mg (NDC 63481-627-70)","New","11/03/2025","","Discontinuation of the manufacture of the drug","","","Analgesia/Addiction","To Be Discontinued","","11/03/2025","11/03/2025","","","","","","",""
"Activated Charcoal Oral Suspension","Padagis US LLC","866-634-9120","Actidose, Oral Suspension, 208 mg/1 mL (NDC 0574-0520-74)","New","05/15/2026","","Discontinuation of the manufacture of the drug","","","Other","To Be Discontinued","","05/15/2026","05/15/2026","","","","","","",""
"Activated Charcoal Oral Suspension","Padagis US LLC","866-634-9120","Actidose, Oral Suspension, 208 mg/1 mL (NDC 0574-0520-76)","New","05/15/2026","","Discontinuation of the manufacture of the drug","","","Other","To Be Discontinued","","05/15/2026","05/15/2026","","","","","","",""
"Activated Charcoal Oral Suspension","Padagis US LLC","866-634-9120","Actidose Aqua, Oral Suspension, 208 mg/1 mL (NDC 0574-0521-25)","New","05/15/2026","","Discontinuation of the manufacture of the drug","","","Other","To Be Discontinued","","05/15/2026","05/15/2026","","","","","","",""
"Activated Charcoal Oral Suspension","Padagis US LLC","866-634-9120","Actidose Aqua, Oral Suspension, 208 mg/1 mL (NDC 0574-0521-74)","New","05/15/2026","","Discontinuation of the manufacture of the drug","","","Other","To Be Discontinued","","05/15/2026","05/15/2026","","","","","","",""
"Activated Charcoal Oral Suspension","Padagis US LLC","866-634-9120","Actidose Aqua, Oral Suspension, 208 mg/1 mL (NDC 0574-0521-76)","New","05/15/2026","","Discontinuation of the manufacture of the drug","","","Other","To Be Discontinued","","05/15/2026","05/15/2026","","","","","","",""
"Adalimumab-adaz Injection","Sandoz Inc.","800-525-8747","Hyrimoz, Injection, Kit (NDC 61314-531-64)","New","01/13/2026","","Equivalent Sandoz format is available.","","","Rheumatology","To Be Discontinued","","01/13/2026","01/13/2026","","","","","","",""
