HCPCS_Cd,HCPCS_Desc,Brnd_Name,Gnrc_Name,Tot_Spndng_2020,Tot_Dsg_Unts_2020,Tot_Clms_2020,Tot_Benes_2020,Avg_Spndng_Per_Dsg_Unt_2020,Avg_Spndng_Per_Clm_2020,Avg_Spndng_Per_Bene_2020,Outlier_Flag_2020,Tot_Spndng_2021,Tot_Dsg_Unts_2021,Tot_Clms_2021,Tot_Benes_2021,Avg_Spndng_Per_Dsg_Unt_2021,Avg_Spndng_Per_Clm_2021,Avg_Spndng_Per_Bene_2021,Outlier_Flag_2021,Tot_Spndng_2022,Tot_Dsg_Unts_2022,Tot_Clms_2022,Tot_Benes_2022,Avg_Spndng_Per_Dsg_Unt_2022,Avg_Spndng_Per_Clm_2022,Avg_Spndng_Per_Bene_2022,Outlier_Flag_2022,Tot_Spndng_2023,Tot_Dsg_Unts_2023,Tot_Clms_2023,Tot_Benes_2023,Avg_Spndng_Per_Dsg_Unt_2023,Avg_Spndng_Per_Clm_2023,Avg_Spndng_Per_Bene_2023,Outlier_Flag_2023,Tot_Spndng_2024,Tot_Dsg_Unts_2024,Tot_Clms_2024,Tot_Benes_2024,Avg_Spndng_Per_Dsg_Unt_2024,Avg_Spndng_Per_Clm_2024,Avg_Spndng_Per_Bene_2024,Outlier_Flag_2024,Avg_DY24_ASP_Price,Chg_Avg_Spndng_Per_Dsg_Unt_23_24,CAGR_Avg_Spnd_Per_Dsg_Unt_20_24
90371,Hepatitis b immune globulin for injection into muscle,HyperHEP B*,Hepatitis B Immune Globulin*,82202.82,856,147,83,96.03133178,559.2028571,990.3954217,0,63082.52,566,134,70,111.4532156,470.7650746,901.1788571,0,76696.89,565,149,69,135.746708,514.7442282,1111.54913,0,71285.73,550,142,59,129.6104182,502.0121831,1208.232712,0,53811.85,389,93,52,138.3338046,578.622043,1034.843269,0,140.67725,0.06730467,0.095541522
90375,Rabies immune globulin for injection,HyperRAB*,Rabies Immune Globulin/PF*,8250491.09,31501,3069,3021,261.9120374,2688.332059,2731.046372,0,7771016.35,28617,2887,2868,271.5524461,2691.727174,2709.559397,0,8826899.47,31812,3189,3154,277.4707491,2767.920812,2798.636484,0,10115323.58,34896,3388,3369,289.8705749,2985.632698,3002.470638,0,10531197.21,37341,3634,3618,282.0277232,2897.962909,2910.778665,0,287.9305,-0.027056391,0.018671335
90377,Rabies immune globulin for injection beneath the skin and/or into muscle,Kedrab,Rabies Immune Globulin/PF,,,,,,,,,41097.88,183,16,16,224.5785792,2568.6175,2568.6175,1,713054.99,3078,336,334,231.6617901,2122.18747,2134.89518,0,2018800.83,8585,864,862,235.1544356,2336.575035,2341.996323,0,2704770.81,10687,1026,1023,253.089811,2636.22886,2643.959736,0,258.30625,0.076270623,0.040643823
90632,Hepatitis a vaccine adult dosage,Havrix*,Hepatitis A Virus Vaccine/PF*,38403.54,657,657,649,58.45287671,58.45287671,59.17340524,0,6230.07,95,95,88,65.57968421,65.57968421,70.79625,0,4945.47,77,77,69,64.22688312,64.22688312,71.67347826,0,7695.51,91,91,89,84.56604396,84.56604396,86.46640449,1,5938.06,89,89,84,66.71977528,66.71977528,70.69119048,0,70.46225,-0.211033505,0.033623016
90653,"Influenza vaccine, inactivated",Fluad *,Flu Vacc TS(65up)/Mf59c/PF*,26330015.42,464590,464571,461258,56.6736594,56.67597724,57.08305421,0,2196936.46,40092,40091,39955,54.79737753,54.79874436,54.98526993,0,220713.69,3368,3365,3356,65.53256829,65.59099257,65.76689213,0,267141.4,2771,2771,2757,96.40613497,96.40613497,96.89568371,0,302904588,3772142.5,3772062,3768112,80.30040964,80.30212334,80.38630168,0,83.49,-0.167061208,0.091023553
90656,"Influenza vaccine, trivalent, split virus, preservative-free, 0.5 ml dosage",Afluria *,Flu Vaccin TS 5yr Up/PF*,195295.27,6431,6431,6374,30.36779195,30.36779195,30.63935833,1,123380.75,4007,3993,3970,30.79130272,30.89926121,31.07827456,1,93738.25,1864,1859,1855,50.28876073,50.42401829,50.53274933,0,81812.57,1555,1554,1552,52.61258521,52.64644144,52.71428479,1,12757053.76,573301,573278,572197,22.25193007,22.25282282,22.29486306,0,22.35,-0.577060698,-0.074793622
90657,"Influenza vaccine, trivalent, 0.25 ml dosage",Afluria Trivalent  (90657)*,Flu Vacc TS  (6 Mos Up)*,1392,57,57,57,24.42105263,24.42105263,24.42105263,0,12045.02,195,195,195,61.76933333,61.76933333,61.76933333,0,2062.93,63,63,63,32.74492064,32.74492064,32.74492064,0,2283.91,58,58,56,39.37775862,39.37775862,40.78410714,1,53322.69,785,785,781,67.92699363,67.92699363,68.27489117,1,10.929,0.725009143,0.291425934
90658,"Influenza vaccine, trivalent, 0.5 ml dosage",Afluria Trivalent  (90658)*,Flu Vacc TS  (6 Mos Up)*,904.2,77,77,77,11.74285714,11.74285714,11.74285714,0,3302.16,253,253,251,13.05201581,13.05201581,13.15601594,1,3092.39,248,247,245,12.46931452,12.51979757,12.622,1,2789.93,214,214,211,13.03705608,13.03705608,13.22241706,1,2681060.95,110632,110622,110344,24.23404576,24.23623646,24.29729709,1,21.858,0.85885875,0.198568988
90660,"Influenza vaccine, trivalent for nasal administration",Flumist Quad ,Flu Vacc Qv Live (2-49yrs),60536.32,767,767,757,78.9261017,78.9261017,79.96871863,0,9211.26,160,160,160,57.570375,57.570375,57.570375,0,563.56,14,14,13,40.25428571,40.25428571,43.35076923,1,884.96,25,25,25,35.3984,35.3984,35.3984,1,5916.56,158,158,158,37.44658228,37.44658228,37.44658228,1,28.871,0.057860872,-0.170057732
90661,"Influenza vaccine, trivalent derived from cell cultures",Flucelvax Trivalent *,Flu Vac TS  (6ms Up) CELl*,10462.11,434,434,431,24.10624424,24.10624424,24.27403712,0,18390.04,701,701,698,26.23400856,26.23400856,26.34676218,0,10484.72,323,323,318,32.46043344,32.46043344,32.97081761,1,5602.92,106,106,104,52.85773585,52.85773585,53.87423077,1,13321948.99,572527.5,369247,368645,23.26866219,36.07869256,36.13760933,1,36.849,-0.559787005,-0.008801889
