product_id,strategy_id,take_or_pay_fraction,mean_fill,p_meet,mean_annual_cost_usd,mean_cost_per_unit_usd,n_runs,note
norepinephrine_1mgml_4ml,S11,0.0,0.9953988117645212,0.95,14493212.66491499,15.445128085615906,20,"labelled contract scenario, not an optimization target: take_or_pay_fraction has no service channel (MD-24)"
norepinephrine_1mgml_4ml,S11,0.25,0.9953988117645212,0.95,14679512.66491493,15.643667757902914,20,"labelled contract scenario, not an optimization target: take_or_pay_fraction has no service channel (MD-24)"
norepinephrine_1mgml_4ml,S11,0.5,0.9953988117645212,0.95,14865812.664914897,15.84220743018995,20,"labelled contract scenario, not an optimization target: take_or_pay_fraction has no service channel (MD-24)"
norepinephrine_1mgml_4ml,S11,0.75,0.9953988117645212,0.95,15052112.664914925,16.04074710247705,20,"labelled contract scenario, not an optimization target: take_or_pay_fraction has no service channel (MD-24)"
norepinephrine_1mgml_4ml,S11,1.0,0.9953988117645212,0.95,15238412.664914876,16.239286774764075,20,"labelled contract scenario, not an optimization target: take_or_pay_fraction has no service channel (MD-24)"
norepinephrine_1mgml_4ml,S13,0.0,0.9966602301042929,0.95,18490553.705900755,19.675569132991132,20,"labelled contract scenario, not an optimization target: take_or_pay_fraction has no service channel (MD-24)"
norepinephrine_1mgml_4ml,S13,0.25,0.9966602301042929,0.95,18607922.705900736,19.800462763100775,20,"labelled contract scenario, not an optimization target: take_or_pay_fraction has no service channel (MD-24)"
norepinephrine_1mgml_4ml,S13,0.5,0.9966602301042929,0.95,18725291.705900714,19.925356393210418,20,"labelled contract scenario, not an optimization target: take_or_pay_fraction has no service channel (MD-24)"
norepinephrine_1mgml_4ml,S13,0.75,0.9966602301042929,0.95,18842660.705900736,20.050250023320103,20,"labelled contract scenario, not an optimization target: take_or_pay_fraction has no service channel (MD-24)"
norepinephrine_1mgml_4ml,S13,1.0,0.9966602301042929,0.95,18960029.705900766,20.175143653429792,20,"labelled contract scenario, not an optimization target: take_or_pay_fraction has no service channel (MD-24)"
norepinephrine_1mgml_4ml,S16,0.0,0.9979964623391556,0.9,15373394.3070795,16.340376019661413,20,"labelled contract scenario, not an optimization target: take_or_pay_fraction has no service channel (MD-24)"
norepinephrine_1mgml_4ml,S16,0.25,0.9979964623391556,0.9,15635829.870748967,16.619325013439525,20,"labelled contract scenario, not an optimization target: take_or_pay_fraction has no service channel (MD-24)"
norepinephrine_1mgml_4ml,S16,0.5,0.9979964623391556,0.9,15898265.43441849,16.898274007217697,20,"labelled contract scenario, not an optimization target: take_or_pay_fraction has no service channel (MD-24)"
norepinephrine_1mgml_4ml,S16,0.75,0.9979964623391556,0.9,16160700.998088103,17.177223000995973,20,"labelled contract scenario, not an optimization target: take_or_pay_fraction has no service channel (MD-24)"
norepinephrine_1mgml_4ml,S16,1.0,0.9979964623391556,0.9,16423136.561757633,17.45617199477415,20,"labelled contract scenario, not an optimization target: take_or_pay_fraction has no service channel (MD-24)"
norepinephrine_1mgml_4ml,S17,0.0,0.9967427184153201,1.0,17977733.475963473,19.133268591776663,20,"labelled contract scenario, not an optimization target: take_or_pay_fraction has no service channel (MD-24)"
norepinephrine_1mgml_4ml,S17,0.25,0.9967427184153201,1.0,18536633.475963395,19.72810351357195,20,"labelled contract scenario, not an optimization target: take_or_pay_fraction has no service channel (MD-24)"
norepinephrine_1mgml_4ml,S17,0.5,0.9967427184153201,1.0,19095533.475963317,20.322938435367238,20,"labelled contract scenario, not an optimization target: take_or_pay_fraction has no service channel (MD-24)"
norepinephrine_1mgml_4ml,S17,0.75,0.9967427184153201,1.0,19654433.475963302,20.9177733571626,20,"labelled contract scenario, not an optimization target: take_or_pay_fraction has no service channel (MD-24)"
norepinephrine_1mgml_4ml,S17,1.0,0.9967427184153201,1.0,20213333.475962497,21.51260827895712,20,"labelled contract scenario, not an optimization target: take_or_pay_fraction has no service channel (MD-24)"
norepinephrine_1mgml_4ml,S19,0.0,0.9969143324560565,0.9,15805696.706582371,16.819336039269636,20,"labelled contract scenario, not an optimization target: take_or_pay_fraction has no service channel (MD-24)"
norepinephrine_1mgml_4ml,S19,0.25,0.9969143324560565,0.9,16196926.706582364,17.235672142139258,20,"labelled contract scenario, not an optimization target: take_or_pay_fraction has no service channel (MD-24)"
norepinephrine_1mgml_4ml,S19,0.5,0.9969143324560565,0.9,16588156.706582194,17.652008245008705,20,"labelled contract scenario, not an optimization target: take_or_pay_fraction has no service channel (MD-24)"
norepinephrine_1mgml_4ml,S19,0.75,0.9969143324560565,0.9,16979386.70658251,18.06834434787867,20,"labelled contract scenario, not an optimization target: take_or_pay_fraction has no service channel (MD-24)"
norepinephrine_1mgml_4ml,S19,1.0,0.9969143324560565,0.9,17370616.70658218,18.484680450747945,20,"labelled contract scenario, not an optimization target: take_or_pay_fraction has no service channel (MD-24)"
sodium_bicarbonate_8_4_50ml,S11,0.0,0.9975934946774482,0.9,15383958.845718887,12.26930566684,20,"labelled contract scenario, not an optimization target: take_or_pay_fraction has no service channel (MD-24)"
sodium_bicarbonate_8_4_50ml,S11,0.25,0.9975934946774482,0.9,15545958.845718792,12.398512135648426,20,"labelled contract scenario, not an optimization target: take_or_pay_fraction has no service channel (MD-24)"
sodium_bicarbonate_8_4_50ml,S11,0.5,0.9975934946774482,0.9,15707958.845718797,12.52771860445694,20,"labelled contract scenario, not an optimization target: take_or_pay_fraction has no service channel (MD-24)"
sodium_bicarbonate_8_4_50ml,S11,0.75,0.9975934946774482,0.9,15869958.845718939,12.656925073265558,20,"labelled contract scenario, not an optimization target: take_or_pay_fraction has no service channel (MD-24)"
sodium_bicarbonate_8_4_50ml,S11,1.0,0.9975934946774482,0.9,16031958.84571894,12.786131542074061,20,"labelled contract scenario, not an optimization target: take_or_pay_fraction has no service channel (MD-24)"
sodium_bicarbonate_8_4_50ml,S13,0.0,0.997142570693808,0.9,19203949.056318052,15.323155280050191,20,"labelled contract scenario, not an optimization target: take_or_pay_fraction has no service channel (MD-24)"
sodium_bicarbonate_8_4_50ml,S13,0.25,0.997142570693808,0.9,19306009.056317993,15.404593908933588,20,"labelled contract scenario, not an optimization target: take_or_pay_fraction has no service channel (MD-24)"
sodium_bicarbonate_8_4_50ml,S13,0.5,0.997142570693808,0.9,19408069.056318052,15.486032537817078,20,"labelled contract scenario, not an optimization target: take_or_pay_fraction has no service channel (MD-24)"
sodium_bicarbonate_8_4_50ml,S13,0.75,0.997142570693808,0.9,19510129.056318007,15.56747116670049,20,"labelled contract scenario, not an optimization target: take_or_pay_fraction has no service channel (MD-24)"
sodium_bicarbonate_8_4_50ml,S13,1.0,0.997142570693808,0.9,19612189.056318093,15.648909795583998,20,"labelled contract scenario, not an optimization target: take_or_pay_fraction has no service channel (MD-24)"
sodium_bicarbonate_8_4_50ml,S16,0.0,0.9973076107841976,0.9,16023284.621866873,12.782256020349417,20,"labelled contract scenario, not an optimization target: take_or_pay_fraction has no service channel (MD-24)"
sodium_bicarbonate_8_4_50ml,S16,0.25,0.9973076107841976,0.9,16251489.459840352,12.96430825354644,20,"labelled contract scenario, not an optimization target: take_or_pay_fraction has no service channel (MD-24)"
sodium_bicarbonate_8_4_50ml,S16,0.5,0.9973076107841976,0.9,16479694.297813868,13.146360486743493,20,"labelled contract scenario, not an optimization target: take_or_pay_fraction has no service channel (MD-24)"
sodium_bicarbonate_8_4_50ml,S16,0.75,0.9973076107841976,0.9,16707899.135787478,13.32841271994062,20,"labelled contract scenario, not an optimization target: take_or_pay_fraction has no service channel (MD-24)"
sodium_bicarbonate_8_4_50ml,S16,1.0,0.9973076107841976,0.9,16936103.973761015,13.510464953137689,20,"labelled contract scenario, not an optimization target: take_or_pay_fraction has no service channel (MD-24)"
sodium_bicarbonate_8_4_50ml,S17,0.0,0.9960556974346861,0.9,18939830.115640182,15.127607887288132,20,"labelled contract scenario, not an optimization target: take_or_pay_fraction has no service channel (MD-24)"
sodium_bicarbonate_8_4_50ml,S17,0.25,0.9960556974346861,0.9,19425830.115640797,15.515795845803755,20,"labelled contract scenario, not an optimization target: take_or_pay_fraction has no service channel (MD-24)"
sodium_bicarbonate_8_4_50ml,S17,0.5,0.9960556974346861,0.9,19911830.115639728,15.903983804318027,20,"labelled contract scenario, not an optimization target: take_or_pay_fraction has no service channel (MD-24)"
sodium_bicarbonate_8_4_50ml,S17,0.75,0.9960556974346861,0.9,20397830.115640458,16.292171762833743,20,"labelled contract scenario, not an optimization target: take_or_pay_fraction has no service channel (MD-24)"
sodium_bicarbonate_8_4_50ml,S17,1.0,0.9960556974346861,0.9,20883830.115639042,16.68035972134775,20,"labelled contract scenario, not an optimization target: take_or_pay_fraction has no service channel (MD-24)"
sodium_bicarbonate_8_4_50ml,S19,0.0,0.9197272715476826,0.0,16388185.621264225,14.220478467439218,20,"labelled contract scenario, not an optimization target: take_or_pay_fraction has no service channel (MD-24)"
sodium_bicarbonate_8_4_50ml,S19,0.25,0.9197272715476826,0.0,16728385.6212641,14.515783128673814,20,"labelled contract scenario, not an optimization target: take_or_pay_fraction has no service channel (MD-24)"
sodium_bicarbonate_8_4_50ml,S19,0.5,0.9197272715476826,0.0,17068585.621264163,14.811087789908578,20,"labelled contract scenario, not an optimization target: take_or_pay_fraction has no service channel (MD-24)"
sodium_bicarbonate_8_4_50ml,S19,0.75,0.9197272715476826,0.0,17408785.62126438,15.106392451143472,20,"labelled contract scenario, not an optimization target: take_or_pay_fraction has no service channel (MD-24)"
sodium_bicarbonate_8_4_50ml,S19,1.0,0.9197272715476826,0.0,17748985.62126427,15.401697112378093,20,"labelled contract scenario, not an optimization target: take_or_pay_fraction has no service channel (MD-24)"
