product_id,strategy_id,mode,sites,annual_demand,units_per_batch,batches_per_site_year,yield_fraction,uptime,saleable_capacity,utilization,annualized_capex,fixed_qa_labor,validation_annualized,variable_production,testing,inventory_carrying_expiry,distribution,reserved_capacity_cost,total_annual_cost,cost_per_unit,response_days,expected_shortage_days_screen,delivered_units,chronic_shortfall_days,crf_used,illustrative
norepinephrine_1mgml_4ml,S0,corrected,1.0,900000.0,30000.0,47.25,0.96,0.85,1156680.0,0.7780890133831311,6509815.795300461,3000000.0,650981.5795300461,1056122.4489795917,956632.6530612245,17360.916969527534,180000.0,0.0,12370913.393840851,13.745459326489835,113.0,11.720400000000003,900000.0,0.0,0.16274539488251152,True
norepinephrine_1mgml_4ml,S1,corrected,1.0,900000.0,30000.0,47.25,0.96,0.85,1156680.0,0.7780890133831311,6509815.795300461,3000000.0,650981.5795300461,1056122.4489795917,956632.6530612245,104165.50181716522,180000.0,0.0,12457717.978688488,13.841908865209431,113.0,11.720400000000003,900000.0,0.0,0.16274539488251152,True
norepinephrine_1mgml_4ml,S2,corrected,2.0,900000.0,30000.0,54.0,0.96,0.85,2643840.0,0.3404139433551198,13019631.590600923,6899999.999999999,1952944.7385901383,1056122.4489795917,956632.6530612245,34721.83393905507,180000.0,0.0,24100053.265170936,26.77783696130104,112.0,0.0,900000.0,0.0,0.16274539488251152,True
norepinephrine_1mgml_4ml,S3,corrected,2.0,900000.0,30000.0,58.5,0.96,0.85,2864160.0,0.314228255404726,13019631.590600923,7200000.0,1952944.7385901383,1056122.4489795917,956632.6530612245,34721.83393905507,180000.0,258749.99999999997,24658803.265170936,27.39867029463437,112.0,0.0,900000.0,0.0,0.16274539488251152,True
norepinephrine_1mgml_4ml,S4,corrected,2.0,900000.0,30000.0,65.25,0.96,0.85,3194640.0,0.2817218841559612,13019631.590600923,6600000.000000001,1952944.7385901383,1056122.4489795917,956632.6530612245,34721.83393905507,180000.0,0.0,23800053.265170936,26.444503627967705,113.0,0.0,900000.0,0.0,0.16274539488251152,True
norepinephrine_1mgml_4ml,S5,corrected,4.0,900000.0,30000.0,60.75000000000001,0.96,0.85,5948640.000000001,0.15129508593560878,26039263.181201845,16800000.0,6509815.795300461,1056122.4489795917,956632.6530612245,26041.375454291305,180000.0,0.0,51567875.45399742,57.29763939333046,110.0,0.0,900000.0,0.0,0.16274539488251152,True
norepinephrine_1mgml_4ml,S6,corrected,4.0,900000.0,30000.0,60.75000000000001,0.96,0.85,5948640.000000001,0.15129508593560878,26039263.181201845,18000000.0,7811778.954360553,1056122.4489795917,956632.6530612245,26041.375454291305,180000.0,0.0,54069838.61305751,60.077598458952785,105.2,0.0,900000.0,0.0,0.16274539488251152,True
norepinephrine_1mgml_4ml,S7,corrected,2.0,900000.0,30000.0,51.74999999999999,0.96,0.85,2533679.9999999995,0.3552145495879512,13019631.590600923,7500000.0,1301963.1590600922,1056122.4489795917,956632.6530612245,17360.916969527534,180000.0,155249.99999999997,24186960.768671356,26.874400854079283,111.0,0.0,900000.0,0.0,0.16274539488251152,True
norepinephrine_1mgml_4ml,S8,corrected,2.0,900000.0,30000.0,47.25,0.96,0.85,2313360.0,0.38904450669156554,13406403.141818322,6238823.360407233,1301963.1590600922,1056122.4489795917,956632.6530612245,34721.83393905507,180000.0,0.0,23174666.59726552,25.749629552517245,112.0,0.0,900000.0,0.0,0.16274539488251152,True
norepinephrine_1mgml_4ml,S9,corrected,2.0,900000.0,30000.0,54.0,0.96,0.85,2643840.0,0.3404139433551198,14524709.097167691,7983513.933141753,1952944.7385901383,1056122.4489795917,956632.6530612245,34721.83393905507,180000.0,0.0,26688644.70487946,29.654049672088288,112.0,0.0,900000.0,0.0,0.16274539488251152,True
norepinephrine_1mgml_4ml,S10,corrected,3.0,900000.0,30000.0,21.75,0.96,0.85,1597320.0,0.5634437683119224,9307127.889029346,4319411.680203617,1952944.7385901383,1056122.4489795917,956632.6530612245,34721.83393905507,180000.0,0.0,17806961.243802976,19.785512493114418,112.0,0.6755999999999998,900000.0,0.0,0.16274539488251152,True
