| Product | Strategy | Annual cost [USD/yr] | Delivered [units/yr] | Fixed share | Break-even price [USD/unit] | Resilience premium vs S0 [USD/unit] | Min contracted utilization |
|---|---|---|---|---|---|---|---|
| norepinephrine_1mgml_4ml | S0 | 12,697,123 | 890,595 | 0.83 | 14.26 | 0.00 | 0.85 |
| norepinephrine_1mgml_4ml | S1 | 12,608,980 | 880,926 | 0.84 | 14.31 | -0.10 | 0.85 |
| norepinephrine_1mgml_4ml | S10 | 17,602,599 | 927,040 | 0.86 | 18.99 | 5.29 | 0.91 |
| norepinephrine_1mgml_4ml | S11 | 15,629,154 | 939,756 | 0.81 | 16.63 | 3.12 | 0.87 |
| norepinephrine_1mgml_4ml | S12 | 22,036,079 | 927,824 | 0.89 | 23.75 | 10.07 | 0.92 |
| norepinephrine_1mgml_4ml | S13 | 20,191,494 | 940,449 | 0.86 | 21.47 | 7.97 | 0.91 |
| norepinephrine_1mgml_4ml | S14 | 23,944,155 | 936,713 | 0.89 | 25.56 | 12.01 | 0.93 |
| norepinephrine_1mgml_4ml | S15 | 12,902,256 | 932,982 | 0.82 | 13.83 | 0.22 | 0.89 |
| norepinephrine_1mgml_4ml | S16 | 15,969,654 | 934,068 | 0.84 | 17.10 | 3.50 | 0.90 |
| norepinephrine_1mgml_4ml | S17 | 19,330,649 | 940,449 | 0.83 | 20.55 | 7.05 | 0.88 |
| norepinephrine_1mgml_4ml | S18 | 23,020,883 | 939,610 | 0.88 | 24.50 | 10.99 | 0.93 |
| norepinephrine_1mgml_4ml | S19 | 15,876,241 | 931,354 | 0.85 | 17.05 | 3.41 | 0.90 |
| norepinephrine_1mgml_4ml | S2 | 25,520,330 | 929,928 | 0.91 | 27.44 | 13.79 | 0.94 |
| norepinephrine_1mgml_4ml | S3 | 18,979,250 | 918,473 | 0.88 | 20.66 | 6.84 | 0.91 |
| norepinephrine_1mgml_4ml | S4 | 27,261,329 | 923,506 | 0.91 | 29.52 | 15.77 | 0.93 |
| norepinephrine_1mgml_4ml | S5 | 42,955,235 | 920,883 | 0.93 | 46.65 | 32.86 | 0.94 |
| norepinephrine_1mgml_4ml | S6 | 45,212,201 | 920,883 | 0.94 | 49.10 | 35.31 | 0.94 |
| norepinephrine_1mgml_4ml | S7 | 17,131,216 | 898,458 | 0.87 | 19.07 | 4.94 | 0.88 |
| norepinephrine_1mgml_4ml | S8 | 22,375,938 | 934,408 | 0.89 | 23.95 | 10.36 | 0.93 |
| norepinephrine_1mgml_4ml | S9 | 25,594,730 | 932,647 | 0.91 | 27.44 | 13.83 | 0.94 |
| sodium_bicarbonate_8_4_50ml | S0 | 12,973,973 | 898,488 | 0.81 | 14.44 | 0.00 | 0.63 |
| sodium_bicarbonate_8_4_50ml | S1 | 12,912,569 | 898,852 | 0.82 | 14.37 | -0.07 | 0.64 |
| sodium_bicarbonate_8_4_50ml | S10 | 18,314,293 | 1,129,008 | 0.83 | 16.22 | 4.73 | 0.81 |
| sodium_bicarbonate_8_4_50ml | S11 | 15,934,191 | 1,200,059 | 0.80 | 13.28 | 2.47 | 0.84 |
| sodium_bicarbonate_8_4_50ml | S12 | 22,760,085 | 1,138,743 | 0.86 | 19.99 | 8.59 | 0.83 |
| sodium_bicarbonate_8_4_50ml | S13 | 20,811,433 | 1,243,340 | 0.84 | 16.74 | 6.30 | 0.89 |
| sodium_bicarbonate_8_4_50ml | S14 | 24,816,561 | 1,190,819 | 0.86 | 20.84 | 9.94 | 0.87 |
| sodium_bicarbonate_8_4_50ml | S15 | 13,090,431 | 951,569 | 0.81 | 13.76 | 0.12 | 0.68 |
| sodium_bicarbonate_8_4_50ml | S16 | 16,589,261 | 1,145,265 | 0.81 | 14.49 | 3.16 | 0.80 |
| sodium_bicarbonate_8_4_50ml | S17 | 19,616,356 | 1,247,591 | 0.82 | 15.72 | 5.32 | 0.88 |
| sodium_bicarbonate_8_4_50ml | S18 | 23,784,335 | 1,173,312 | 0.86 | 20.27 | 9.21 | 0.85 |
| sodium_bicarbonate_8_4_50ml | S19 | 16,232,138 | 981,589 | 0.83 | 16.54 | 3.32 | 0.70 |
| sodium_bicarbonate_8_4_50ml | S2 | 26,443,455 | 1,187,812 | 0.88 | 22.26 | 11.34 | 0.88 |
| sodium_bicarbonate_8_4_50ml | S3 | 20,033,267 | 1,213,429 | 0.83 | 16.51 | 5.82 | 0.87 |
| sodium_bicarbonate_8_4_50ml | S4 | 28,154,782 | 1,171,956 | 0.89 | 24.02 | 12.95 | 0.87 |
| sodium_bicarbonate_8_4_50ml | S5 | 43,961,029 | 1,083,122 | 0.91 | 40.59 | 28.61 | 0.81 |
| sodium_bicarbonate_8_4_50ml | S6 | 46,217,995 | 1,083,122 | 0.92 | 42.67 | 30.69 | 0.81 |
| sodium_bicarbonate_8_4_50ml | S7 | 17,581,294 | 963,467 | 0.84 | 18.25 | 4.78 | 0.70 |
| sodium_bicarbonate_8_4_50ml | S8 | 23,300,337 | 1,182,261 | 0.86 | 19.71 | 8.73 | 0.86 |
| sodium_bicarbonate_8_4_50ml | S9 | 26,532,076 | 1,183,970 | 0.87 | 22.41 | 11.45 | 0.87 |

source: results/simulation/sim_post_R009/summary.json; written to results/design_space/contract_conditions_sim_post_R009.csv
PRELIMINARY / ILLUSTRATIVE / NOT FOR EXTERNAL CLAIMS
